OID,OBJECTID,STATE_NAME,STATE_FIPS,SUB_REGION,STATE_ABBR,POP2000,POP00_SQMI,HSE_UNITS_,VACANT_00,OWNER_OCC_,RENTER_OCC,POP_2010,POP10_SQMI,POP_CHANGE,REGION10,DIVISION10,STATEFP10,STATENS10,GEOID10,STUSPS10,NAME10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,AGE_50_54,AGE_55_59,AGE_60_64,AGE_65_69,AGE_70_74,AGE_75_79,AGE_80_84,AGE_85_89,AGE_90_UP,AGE_UNDER1,AGE_18_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,WHITE,BLACK,AMERI_ES,ASIAN,HAW_PI,OTHER,HISPANIC,HSE_UNITS,VACANT,OCCUPIED,OWNER_OCC,RENTER_O_1,Shape_Leng,Shape_Area,HSE_UNITS1,VACANT_CHA,OWN_OCC_CH,RENT_OCC_C
30,31,Indiana,18,East North Central,IN,6080485,167.9,2532319,196013,1669162,667144,6483802,178.8999939,403317,2,3,18,00448508,18,IN,Indiana,00,G4000,A,92789193658,1537004191,+39.9030256,-086.2839503,3189737,3294065,434075,444821,452171,475515,452026,419530,407815,417011,423819,473946,472822,418515,350628,259057,193278,151843,121658,76096,39176,1608298,4034396,841108,37,35.7,38.2,5467906,591397,18462,102474,2348,173314,389707,2795541,293387,2502154,1747975,754179,17.38071353,9.872500451,263222,97374,78813,87035
31,32,Iowa,19,West North Central,IA,2926324,52,1232511,83235,831419,317857,3046355,54.29999924,120031,2,4,19,01779785,19,IA,Iowa,00,G4000,A,1.44669E+11,1076595005,+42.0700243,-093.4933473,1508319,1538036,202123,200646,200904,216837,213350,197843,184740,177148,187400,216482,223244,204393,168357,124365,100291,83387,70187,47066,27592,727993,1865474,452888,38.1,36.6,39.5,2781561,89148,11084,53094,2003,56132,151544,1336417,114841,1221576,880635,340941,20.66401195,15.85747571,103906,31606,49216,23084
32,33,Massachusetts,25,New England,MA,6349097,622.1,2621989,178409,1508052,935528,6547629,642.2999878,198532,1,1,25,00606926,25,MA,Massachusetts,00,G4000,A,20202057805,7133683836,+42.1565196,-071.4895915,3166628,3381001,367087,385687,405613,462756,475668,441525,403616,418195,468954,515434,497001,432822,370547,264459,192001,162592,138473,93421,51778,1418923,4225982,902724,39.1,37.7,40.3,5265236,434398,18850,349768,2223,305151,627654,2808254,261179,2547075,1587158,959917,33.63277668,2.290073961,186265,82770,79106,24389
33,34,Arizona,04,Mountain,AZ,5130632,45,2189189,287862,1293556,607771,6392017,59,1261385,4,8,04,01779777,04,AZ,Arizona,00,G4000,A,2.94207E+11,1026196264,+34.2099643,-111.6024010,3175823,3216194,455715,453680,448664,461582,442584,439998,416695,415693,406801,427022,415524,375268,350960,282866,215026,162261,118278,70251,33149,1629014,3881172,881831,35.9,34.8,37.2,4667121,259008,296529,176695,12648,761716,1895149,2844526,463536,2380990,1571687,809303,23.90121935,28.92131221,655337,175674,278131,201532
34,35,California,06,Pacific,CA,33871648,206.7,12214549,711679,6546334,4956536,37253956,231.8000031,3382308,4,9,06,01779778,06,CA,California,00,G4000,A,4.03466E+11,20501110720,+37.1485730,-119.5406515,18517830,18736126,2531333,2505839,2590930,2823940,2765949,2744409,2573468,2573579,2609131,2689819,2562552,2204296,1832197,1303558,971778,766971,603239,397236,203732,9295040,23712402,4246514,35.2,34,36.3,21453934,2299072,362801,4861007,144386,6317372,14013719,13680081,1102583,12577498,7035371,5542127,57.6484199,41.63928838,1465532,390904,489037,585591
35,36,Idaho,16,Mountain,ID,1293953,15.5,527824,58179,339960,129685,1567582,18.89999962,273629,4,8,16,01779783,16,ID,Idaho,00,G4000,A,2.14045E+11,2397887804,+44.3020948,-114.5956254,785324,782258,121772,121195,116955,115359,108209,106734,102231,96845,94764,103560,104977,96997,83316,63428,46106,34278,25614,16437,8805,429072,943842,194668,34.6,33.7,35.4,1396487,9810,21441,19069,2317,79523,175901,667796,88388,579408,404903,174505,31.14045274,24.45672658,139972,30209,64943,44820
36,37,Connecticut,09,New England,CT,3405565,636.4,1385975,84305,869729,431941,3574097,660.7999878,168532,1,1,09,01779780,09,CT,Connecticut,00,G4000,A,12541641427,1815734898,+41.5797842,-072.7466666,1739614,1834483,202106,222571,240265,250834,227898,214145,206232,222401,262037,291272,284325,240157,203295,149281,105663,89252,77465,53759,31139,817015,2250523,506559,40,38.5,41.3,2772410,362296,11256,135565,1428,198466,479087,1487891,116804,1371087,925286,445801,13.35646225,1.388666067,101916,32499,55557,13860
37,38,Maine,23,New England,ME,1274923,32.2,651901,133701,370905,147295,1328361,33.79999924,53438,1,1,23,01779787,23,ME,Maine,00,G4000,A,79882800680,11750312805,+45.3906022,-068.6574869,650056,678305,69520,74116,79013,88310,79646,72681,71943,79905,91471,107619,110956,102441,89660,65014,47637,38894,30399,19172,9964,274533,842748,211080,42.7,41.5,43.8,1264971,15707,8568,13571,342,4261,16935,721830,164611,557219,397417,159802,81.17981737,9.668087838,69929,30910,26512,12507
38,39,Maryland,24,South Atlantic,MD,5296486,435.4,2145283,164424,1341751,639108,5773552,471.1000061,477066,3,5,24,01714934,24,MD,Maryland,00,G4000,A,25141638381,6989579585,+38.9466584,-076.6744939,2791762,2981790,364488,366868,379029,406241,393698,393548,368494,377409,418163,461585,440619,377989,317779,226596,159761,124579,98580,64771,33355,1352964,3712946,707642,38,36.4,39.3,3359284,1700298,20420,318853,3157,206832,470632,2378814,222403,2156411,1455775,700636,80.91460692,2.668207405,233531,57979,114024,61528
39,40,Oklahoma,40,West South Central,OK,3450654,49.4,1514400,172107,918259,424034,3751351,53.20000076,300697,3,7,40,01102857,40,OK,Oklahoma,00,G4000,A,1.7766E+11,3377212498,+35.5894185,-097.4868683,1856977,1894374,264126,259336,253664,264484,269242,265737,241018,232742,228195,261242,264369,235969,204513,159392,121075,95051,69284,41640,20272,929666,2314971,506714,36.2,34.9,37.7,2706845,277644,321687,65076,4369,154409,332007,1664378,203928,1460450,981760,478690,27.36683395,18.00545216,149978,31821,63501,54656
